Place_ID,Place_Name,State_UT,Category,Trip_Type,Min_Budget,Max_Budget,Best_Season,Duration_Days,Rating,Description,Image_URL,combined_features
18,Simhachalam Temple,Andhra Pradesh,Religious,Family,1500,4500,Winter,1,4.6,Hilltop temple dedicated to Lord Varaha Lakshmi Narasimha.,place_images\Simhachalam_Temple.jpg,Religious Family Winter Andhra Pradesh Hilltop temple dedicated to Lord Varaha Lakshmi Narasimha.
19,Bhavani Island,Andhra Pradesh,Nature,Family,2500,6000,Winter,1,4.1,River island on Krishna River with recreational parks.,place_images\Bhavani_Island.jpg,Nature Family Winter Andhra Pradesh River island on Krishna River with recreational parks.
20,Talakona Waterfall,Andhra Pradesh,Nature,Friends,1500,4000,Monsoon,1,4.4,Highest waterfall in Andhra Pradesh surrounded by forest.,place_images\Talakona_Waterfall.jpg,Nature Friends Monsoon Andhra Pradesh Highest waterfall in Andhra Pradesh surrounded by forest.
21,Ahobilam,Andhra Pradesh,Religious,Family,2500,7000,Winter,2,4.5,Sacred site of nine shrines of Lord Narasimha.,place_images\Ahobilam.jpg,Religious Family Winter Andhra Pradesh Sacred site of nine shrines of Lord Narasimha.
22,Gandikota Grand Canyon,Andhra Pradesh,Nature,Friends,3000,8000,Winter,2,4.6,Stunning gorge formed by Pennar River resembling Grand Canyon.,place_images\Gandikota_Grand_Canyon.jpg,Nature Friends Winter Andhra Pradesh Stunning gorge formed by Pennar River resembling Grand Canyon.
23,Maredumilli,Andhra Pradesh,Nature,Friends,4000,10000,Monsoon,2,4.4,"Eco-tourism project inside dense, lush tropical forests.",place_images\Maredumilli.jpg,"Nature Friends Monsoon Andhra Pradesh Eco-tourism project inside dense, lush tropical forests."
24,Pulicat Lake,Andhra Pradesh,Nature,Friends,2000,5000,Winter,1,4.2,Massive brackish water lagoon hosting migratory flamingoes.,place_images\Pulicat_Lake.jpg,Nature Friends Winter Andhra Pradesh Massive brackish water lagoon hosting migratory flamingoes.
25,Tawang Monastery,Arunachal Pradesh,Religious,Solo,6000,20000,Summer,3,4.9,Largest monastery in India perched high on mountains.,place_images\Tawang_Monastery.jpg,Religious Solo Summer Arunachal Pradesh Largest monastery in India perched high on mountains.
26,Ziro Valley,Arunachal Pradesh,Hill Station,Friends,8000,22000,Summer,3,4.7,World heritage site famed for music festivals and pine hills.,place_images\Ziro_Valley.jpg,Hill Station Friends Summer Arunachal Pradesh World heritage site famed for music festivals and pine hills.
27,Namdapha National Park,Arunachal Pradesh,Wildlife,Solo,7000,18000,Winter,3,4.5,Biodiversity hotspot boasting rare wild cats and canopy.,place_images\Namdapha_National_Park.jpg,Wildlife Solo Winter Arunachal Pradesh Biodiversity hotspot boasting rare wild cats and canopy.
28,Sela Pass,Arunachal Pradesh,Nature,Solo,5000,15000,Winter,1,4.8,High-altitude mountain pass featuring frozen paradise lakes.,place_images\Sela_Pass.jpg,Nature Solo Winter Arunachal Pradesh High-altitude mountain pass featuring frozen paradise lakes.
29,Bomdila,Arunachal Pradesh,Hill Station,Family,4000,12000,Summer,2,4.3,Town offering apple orchards and scenic Himalayan views.,place_images\Bomdila.jpg,Hill Station Family Summer Arunachal Pradesh Town offering apple orchards and scenic Himalayan views.
30,Dirang,Arunachal Pradesh,Hill Station,Couple,4000,13000,Winter,2,4.4,Picturesque valley known for hot water springs and fort.,place_images\Dirang.jpg,Hill Station Couple Winter Arunachal Pradesh Picturesque valley known for hot water springs and fort.
31,Nuranang Falls,Arunachal Pradesh,Nature,Couple,2000,5000,Summer,1,4.7,Spectacular milk-white cascading waterfall near Tawang.,place_images\Nuranang_Falls.jpg,Nature Couple Summer Arunachal Pradesh Spectacular milk-white cascading waterfall near Tawang.
32,Itanagar Zoo,Arunachal Pradesh,Wildlife,Family,1000,3000,Winter,1,4.0,Biological park displaying native northeastern animal species.,place_images\Itanagar_Zoo.jpg,Wildlife Family Winter Arunachal Pradesh Biological park displaying native northeastern animal species.
33,Roing,Arunachal Pradesh,Nature,Solo,5000,14000,Winter,2,4.2,Tranquil town situated beside the beautiful Dibang River.,place_images\Roing.jpg,Nature Solo Winter Arunachal Pradesh Tranquil town situated beside the beautiful Dibang River.
34,Mechuka,Arunachal Pradesh,Nature,Solo,9000,25000,Summer,4,4.8,Exotic valley with snow-capped peaks and wooden huts.,place_images\Mechuka.jpg,Nature Solo Summer Arunachal Pradesh Exotic valley with snow-capped peaks and wooden huts.
35,Pasighat,Arunachal Pradesh,Nature,Friends,4000,11000,Winter,2,4.2,Oldest town of the state on the banks of Siang River.,place_images\Pasighat.jpg,Nature Friends Winter Arunachal Pradesh Oldest town of the state on the banks of Siang River.
36,Tezu,Arunachal Pradesh,Nature,Family,3500,10000,Winter,2,4.1,Riverside town popular for historical ruins and lakes.,place_images\Tezu.jpg,Nature Family Winter Arunachal Pradesh Riverside town popular for historical ruins and lakes.
37,Daporijo,Arunachal Pradesh,Nature,Solo,5000,13000,Winter,2,4.0,Scenic spot alongside Subansiri River showcasing tribal culture.,place_images\Daporijo.jpg,Nature Solo Winter Arunachal Pradesh Scenic spot alongside Subansiri River showcasing tribal culture.
38,Along,Arunachal Pradesh,Nature,Friends,4500,12000,Winter,2,4.2,Valley known for hanging bridges and orange orchards.,place_images\Along.jpg,Nature Friends Winter Arunachal Pradesh Valley known for hanging bridges and orange orchards.
39,Parshuram Kund,Arunachal Pradesh,Religious,Family,3000,8000,Winter,1,4.5,Holy pilgrimage pool on the Brahmaputra plateau.,place_images\Parshuram_Kund.jpg,Religious Family Winter Arunachal Pradesh Holy pilgrimage pool on the Brahmaputra plateau.
40,Pakke Wildlife Sanctuary,Arunachal Pradesh,Wildlife,Solo,6000,16000,Winter,3,4.6,Award-winning reserve famous for hornbill conservation.,place_images\Pakke_Wildlife_Sanctuary.jpg,Wildlife Solo Winter Arunachal Pradesh Award-winning reserve famous for hornbill conservation.
41,Eaglenest Wildlife,Arunachal Pradesh,Wildlife,Solo,7000,20000,Winter,3,4.5,Birdwatching paradise holding rare avian mountain fauna.,place_images\Eaglenest_Wildlife.jpg,Wildlife Solo Winter Arunachal Pradesh Birdwatching paradise holding rare avian mountain fauna.
42,Sangti Valley,Arunachal Pradesh,Nature,Couple,5000,14000,Summer,2,4.7,Untouched valley hosting migratory black-necked cranes.,place_images\Sangti_Valley.jpg,Nature Couple Summer Arunachal Pradesh Untouched valley hosting migratory black-necked cranes.
43,Bumla Pass,Arunachal Pradesh,Nature,Friends,6000,15000,Summer,1,4.9,Indo-China border pass located at extreme altitude.,place_images\Bumla_Pass.jpg,Nature Friends Summer Arunachal Pradesh Indo-China border pass located at extreme altitude.
44,Pakhui Tiger Reserve,Arunachal Pradesh,Wildlife,Solo,6000,15000,Winter,2,4.4,Protected tiger habitats with pristine perennial streams.,place_images\Pakhui_Tiger_Reserve.jpg,Wildlife Solo Winter Arunachal Pradesh Protected tiger habitats with pristine perennial streams.
45,Anini,Arunachal Pradesh,Nature,Solo,10000,30000,Summer,4,4.8,Remote raw landscape where clouds touch the green hills.,place_images\Anini.jpg,Nature Solo Summer Arunachal Pradesh Remote raw landscape where clouds touch the green hills.
46,Bhalukpong,Arunachal Pradesh,Nature,Friends,3000,9000,Winter,2,4.2,Rafting destination along the Kameng River foothills.,place_images\Bhalukpong.jpg,Nature Friends Winter Arunachal Pradesh Rafting destination along the Kameng River foothills.
47,Gorichen Peak,Arunachal Pradesh,Nature,Solo,12000,35000,Summer,4,4.7,High peak offering challenging alpine trekking trails.,place_images\Gorichen_Peak.jpg,Nature Solo Summer Arunachal Pradesh High peak offering challenging alpine trekking trails.
48,Malinitan,Arunachal Pradesh,Historical,Family,2000,5000,Winter,1,4.1,Archaeological site featuring medieval temple ruins.,place_images\Malinitan.jpg,Historical Family Winter Arunachal Pradesh Archaeological site featuring medieval temple ruins.
49,Kaziranga National Park,Assam,Wildlife,Family,6000,25000,Winter,3,4.9,World heritage site harboring one-horned rhinoceros.,place_images\Kaziranga_National_Park.jpg,Wildlife Family Winter Assam World heritage site harboring one-horned rhinoceros.
50,Majuli Island,Assam,Nature,Solo,3000,10000,Winter,2,4.7,World's largest fresh water river island inside Brahmaputra.,place_images\Majuli_Island.jpg,Nature Solo Winter Assam World's largest fresh water river island inside Brahmaputra.
51,Kamakhya Temple,Assam,Religious,Family,1500,6000,Winter,1,4.8,Revered Shakti Peeth shrine situated on Nilachal Hills.,place_images\Kamakhya_Temple.jpg,Religious Family Winter Assam Revered Shakti Peeth shrine situated on Nilachal Hills.
52,Sibsagar,Assam,Historical,Family,2500,8000,Winter,2,4.4,Historic city featuring monument architecture of Ahom kingdom.,place_images\Sibsagar.jpg,Historical Family Winter Assam Historic city featuring monument architecture of Ahom kingdom.
53,Hajo,Assam,Religious,Family,1000,4000,Winter,1,4.2,"Ancient spiritual confluence of Hinduism, Buddhism, Islam.",place_images\Hajo.jpg,"Religious Family Winter Assam Ancient spiritual confluence of Hinduism, Buddhism, Islam."
54,Pobitora Wildlife,Assam,Wildlife,Friends,3000,9000,Winter,1,4.5,Dense marshy sanctuary holding massive rhino populations.,place_images\Pobitora_Wildlife.jpg,Wildlife Friends Winter Assam Dense marshy sanctuary holding massive rhino populations.
55,Manas National Park,Assam,Wildlife,Friends,5000,18000,Winter,2,4.7,Project Tiger reserve with stunning Himalayan foothills view.,place_images\Manas_National_Park.jpg,Wildlife Friends Winter Assam Project Tiger reserve with stunning Himalayan foothills view.
56,Haflong,Assam,Hill Station,Couple,4000,12000,Winter,2,4.3,The only hill station of Assam with misty lakes.,place_images\Haflong.jpg,Hill Station Couple Winter Assam The only hill station of Assam with misty lakes.
57,Diphu,Assam,Nature,Family,2000,6000,Winter,1,4.0,"Calm, peaceful town known for botanical gardens.",place_images\Diphu.jpg,"Nature Family Winter Assam Calm, peaceful town known for botanical gardens."
58,Sualkuchi,Assam,Historical,Family,1500,5000,Winter,1,4.4,Weaving village crafting golden Muga silk fabrics.,place_images\Sualkuchi.jpg,Historical Family Winter Assam Weaving village crafting golden Muga silk fabrics.
59,Jorhat,Assam,Nature,Couple,3500,11000,Winter,2,4.3,Tea capital of Assam boasting heritage bungalows.,place_images\Jorhat.jpg,Nature Couple Winter Assam Tea capital of Assam boasting heritage bungalows.
60,Dibrugarh Tea Gardens,Assam,Nature,Family,4000,13000,Winter,2,4.4,Expansive green tea plantations beside great river valleys.,place_images\Dibrugarh_Tea_Gardens.jpg,Nature Family Winter Assam Expansive green tea plantations beside great river valleys.
61,Nameri National Park,Assam,Wildlife,Friends,4000,12000,Winter,2,4.6,Ecotourism park perfect for river rafting and birding.,place_images\Nameri_National_Park.jpg,Wildlife Friends Winter Assam Ecotourism park perfect for river rafting and birding.
62,Orang National Park,Assam,Wildlife,Solo,3000,9000,Winter,1,4.2,Mini Kaziranga located on north bank of Brahmaputra.,place_images\Orang_National_Park.jpg,Wildlife Solo Winter Assam Mini Kaziranga located on north bank of Brahmaputra.
63,Sivasagar Sivadol,Assam,Religious,Family,1000,3000,Winter,1,4.5,Tallest Shiva temple tower built by historical queens.,place_images\Sivasagar_Sivadol.jpg,Religious Family Winter Assam Tallest Shiva temple tower built by historical queens.
64,Rang Ghar,Assam,Historical,Family,1000,3000,Winter,1,4.4,Two-storied royal amphitheater pavilion of Ahom kings.,place_images\Rang_Ghar.jpg,Historical Family Winter Assam Two-storied royal amphitheater pavilion of Ahom kings.
65,Talatal Ghar,Assam,Historical,Friends,1000,3000,Winter,1,4.5,Grand military palace structure containing secret underground tunnels.,place_images\Talatal_Ghar.jpg,Historical Friends Winter Assam Grand military palace structure containing secret underground tunnels.
66,Umananda Temple,Assam,Religious,Family,1000,4000,Winter,1,4.6,Peacock Island temple inside the mighty river channel.,place_images\Umananda_Temple.jpg,Religious Family Winter Assam Peacock Island temple inside the mighty river channel.
67,Chandubi Lake,Assam,Nature,Friends,2000,6000,Winter,1,4.1,Natural earthquake-formed lagoon ideal for calm camping.,place_images\Chandubi_Lake.jpg,Nature Friends Winter Assam Natural earthquake-formed lagoon ideal for calm camping.
68,Digboi Oil Town,Assam,Historical,Family,3000,9000,Winter,2,4.3,Birthplace of Asia's oldest industrial operating oil refinery.,place_images\Digboi_Oil_Town.jpg,Historical Family Winter Assam Birthplace of Asia's oldest industrial operating oil refinery.
69,Kakochang Waterfalls,Assam,Nature,Friends,1500,4000,Monsoon,1,4.2,Cascading waterfall near rubber and coffee forest trails.,place_images\Kakochang_Waterfalls.jpg,Nature Friends Monsoon Assam Cascading waterfall near rubber and coffee forest trails.
70,Panimoor Falls,Assam,Nature,Friends,2500,7000,Winter,1,4.3,Stunning wild river rapids flowing over massive rocks.,place_images\Panimoor_Falls.jpg,Nature Friends Winter Assam Stunning wild river rapids flowing over massive rocks.
71,Bodh Gaya,Bihar,Religious,Solo,2500,10000,Winter,2,4.9,Most sacred Buddhist shrine where Buddha attained enlightenment.,place_images\Bodh_Gaya.jpg,Religious Solo Winter Bihar Most sacred Buddhist shrine where Buddha attained enlightenment.
72,Nalanda,Bihar,Historical,Family,1500,5000,Winter,1,4.8,Ancient ruins of the world's premier residential university.,place_images\Nalanda.jpg,Historical Family Winter Bihar Ancient ruins of the world's premier residential university.
73,Vaishali,Bihar,Historical,Family,1200,4000,Winter,1,4.4,Historic republic capital revered by Buddhists and Jains.,place_images\Vaishali.jpg,Historical Family Winter Bihar Historic republic capital revered by Buddhists and Jains.
74,Rajgir,Bihar,Historical,Family,2000,7000,Winter,2,4.6,Valley town famous for hot springs and ropeway.,place_images\Rajgir.jpg,Historical Family Winter Bihar Valley town famous for hot springs and ropeway.
75,Vikramshila,Bihar,Historical,Friends,1500,4000,Winter,1,4.3,Ancient monastic university center established by Pala rulers.,place_images\Vikramshila.jpg,Historical Friends Winter Bihar Ancient monastic university center established by Pala rulers.
76,Patna Sahib,Bihar,Religious,Family,1500,6000,Winter,1,4.8,Birthplace shrine of tenth Sikh master Guru Gobind Singh.,place_images\Patna_Sahib.jpg,Religious Family Winter Bihar Birthplace shrine of tenth Sikh master Guru Gobind Singh.
77,Mahabodhi Temple,Bihar,Religious,Solo,1000,4000,Winter,1,4.9,Iconic pyramid temple standing beside the Bodhi tree.,place_images\Mahabodhi_Temple.jpg,Religious Solo Winter Bihar Iconic pyramid temple standing beside the Bodhi tree.
78,Barabar Caves,Bihar,Historical,Solo,1500,4000,Winter,1,4.2,Oldest surviving rock-cut polished caves in India.,place_images\Barabar_Caves.jpg,Historical Solo Winter Bihar Oldest surviving rock-cut polished caves in India.
79,Munger,Bihar,Historical,Family,2000,6000,Winter,1,4.1,Seat of historic fort and elite yoga world university.,place_images\Munger.jpg,Historical Family Winter Bihar Seat of historic fort and elite yoga world university.
80,Pawapuri,Bihar,Religious,Family,1500,5000,Winter,1,4.6,Marble water temple where Lord Mahavira attained salvation.,place_images\Pawapuri.jpg,Religious Family Winter Bihar Marble water temple where Lord Mahavira attained salvation.
81,Kesaria Stupa,Bihar,Historical,Friends,1500,4000,Winter,1,4.3,One of the tallest ancient Buddhist stupas globally.,place_images\Kesaria_Stupa.jpg,Historical Friends Winter Bihar One of the tallest ancient Buddhist stupas globally.
82,Valmiki National Park,Bihar,Wildlife,Solo,4000,12000,Winter,2,4.4,Dense tiger reserve sanctuary along Indo-Nepal borders.,place_images\Valmiki_National_Park.jpg,Wildlife Solo Winter Bihar Dense tiger reserve sanctuary along Indo-Nepal borders.
83,Sher Shah Suri Tomb,Bihar,Historical,Family,1000,3000,Winter,1,4.5,Masterpiece sandstone mausoleum built middle of a lake.,place_images\Sher_Shah_Suri_Tomb.jpg,Historical Family Winter Bihar Masterpiece sandstone mausoleum built middle of a lake.
84,Sonepur Mela,Bihar,Nature,Friends,2000,8000,Winter,2,4.5,Asia's massive traditional ancient livestock and horse fair.,place_images\Sonepur_Mela.jpg,Nature Friends Winter Bihar Asia's massive traditional ancient livestock and horse fair.
85,Darbhanga,Bihar,Historical,Family,1500,5000,Winter,1,4.1,Cultural city known for royal palaces and art forms.,place_images\Darbhanga.jpg,Historical Family Winter Bihar Cultural city known for royal palaces and art forms.
86,Muzaffarpur,Bihar,Nature,Family,1500,5000,Summer,1,4.0,Famous commercial center exporting premium Shahi litchi fruits.,place_images\Muzaffarpur.jpg,Nature Family Summer Bihar Famous commercial center exporting premium Shahi litchi fruits.
87,Sitamarhi,Bihar,Religious,Family,1200,4000,Winter,1,4.2,Sacred birthplace of Goddess Sita according to mythology.,place_images\Sitamarhi.jpg,Religious Family Winter Bihar Sacred birthplace of Goddess Sita according to mythology.
88,Gaya,Bihar,Religious,Family,1500,6000,Winter,1,4.5,Ancient city famous for performing Pinda Daan rituals.,place_images\Gaya.jpg,Religious Family Winter Bihar Ancient city famous for performing Pinda Daan rituals.
89,Rohtasgarh Fort,Bihar,Historical,Solo,2000,6000,Winter,2,4.3,Hill fort complex situated on the Kaimur plateau.,place_images\Rohtasgarh_Fort.jpg,Historical Solo Winter Bihar Hill fort complex situated on the Kaimur plateau.
90,Buxar,Bihar,Historical,Family,1000,3000,Winter,1,4.0,Historic battleground town resting on holy Ganges banks.,place_images\Buxar.jpg,Historical Family Winter Bihar Historic battleground town resting on holy Ganges banks.
91,Kakolat Waterfall,Bihar,Nature,Friends,1500,4000,Summer,1,4.2,Popular refreshing waterfall cascade down Nawada green hills.,place_images\Kakolat_Waterfall.jpg,Nature Friends Summer Bihar Popular refreshing waterfall cascade down Nawada green hills.
92,Maner Sharif,Bihar,Religious,Family,1000,3000,Winter,1,4.1,Ancient Sufi saints mausoleum showing beautiful intricate stone carving.,place_images\Maner_Sharif.jpg,Religious Family Winter Bihar Ancient Sufi saints mausoleum showing beautiful intricate stone carving.
93,Chitrakoot Falls,Chhattisgarh,Nature,Friends,4000,12000,Monsoon,2,4.8,Widest waterfall in India often called Niagara of India.,place_images\Chitrakoot_Falls.jpg,Nature Friends Monsoon Chhattisgarh Widest waterfall in India often called Niagara of India.
94,Bastar,Chhattisgarh,Nature,Solo,5000,15000,Winter,3,4.6,Tribal cultural hub rich in wood and metal handicrafts.,place_images\Bastar.jpg,Nature Solo Winter Chhattisgarh Tribal cultural hub rich in wood and metal handicrafts.
95,Tirathgarh Falls,Chhattisgarh,Nature,Family,2000,6000,Monsoon,1,4.7,Beautiful step-style cascading falls inside Kanger valley.,place_images\Tirathgarh_Falls.jpg,Nature Family Monsoon Chhattisgarh Beautiful step-style cascading falls inside Kanger valley.
96,Barnawapara,Chhattisgarh,Wildlife,Friends,4000,11000,Winter,2,4.3,Lush forest wildlife sanctuary hosting leopards and bison.,place_images\Barnawapara.jpg,Wildlife Friends Winter Chhattisgarh Lush forest wildlife sanctuary hosting leopards and bison.
97,Kanger Valley,Chhattisgarh,Wildlife,Solo,3500,10000,Winter,2,4.5,Dense national park boasting subterranean caves and wildlife.,place_images\Kanger_Valley.jpg,Wildlife Solo Winter Chhattisgarh Dense national park boasting subterranean caves and wildlife.
98,Dantewada Temple,Chhattisgarh,Religious,Family,3000,8000,Winter,1,4.6,"Ancient temple of Goddess Danteshwari, a Shakti Peeth.",place_images\Dantewada_Temple.jpg,"Religious Family Winter Chhattisgarh Ancient temple of Goddess Danteshwari, a Shakti Peeth."
99,Jagdalpur,Chhattisgarh,Historical,Family,3000,10000,Winter,2,4.4,Tourism capital city of Bastar with royal palace.,place_images\Jagdalpur.jpg,Historical Family Winter Chhattisgarh Tourism capital city of Bastar with royal palace.
100,Sirpur,Chhattisgarh,Historical,Friends,1500,4000,Winter,1,4.5,Archaeological site famous for Laxman brick temple.,place_images\Sirpur.jpg,Historical Friends Winter Chhattisgarh Archaeological site famous for Laxman brick temple.
101,Bhoramdeo Temple,Chhattisgarh,Historical,Couple,2000,6000,Winter,1,4.6,11th-century erotic art temple called Khajuraho of Chhattisgarh.,place_images\Bhoramdeo_Temple.jpg,Historical Couple Winter Chhattisgarh 11th-century erotic art temple called Khajuraho of Chhattisgarh.
102,Rajim,Chhattisgarh,Religious,Family,1500,5000,Winter,1,4.3,Holy confluence town holding the ancient Rajiv Lochan shrine.,place_images\Rajim.jpg,Religious Family Winter Chhattisgarh Holy confluence town holding the ancient Rajiv Lochan shrine.
103,Achanakmar Wildlife,Chhattisgarh,Wildlife,Solo,4000,13000,Winter,2,4.4,Large tiger reserve corridor linking straight to Amarkantak.,place_images\Achanakmar_Wildlife.jpg,Wildlife Solo Winter Chhattisgarh Large tiger reserve corridor linking straight to Amarkantak.
104,Udanti Sitanadi,Chhattisgarh,Wildlife,Solo,5000,14000,Winter,2,4.2,Sanctuary dedicated to protecting endangered wild water buffaloes.,place_images\Udanti_Sitanadi.jpg,Wildlife Solo Winter Chhattisgarh Sanctuary dedicated to protecting endangered wild water buffaloes.
105,Mainpat,Chhattisgarh,Hill Station,Couple,4000,12000,Winter,2,4.5,Hill station town featuring Tibetan settlements and bouncy ground.,place_images\Mainpat.jpg,Hill Station Couple Winter Chhattisgarh Hill station town featuring Tibetan settlements and bouncy ground.
106,Dongargarh,Chhattisgarh,Religious,Family,1500,4000,Winter,1,4.5,Hilltop temple of Bambleshwari Devi accessible via ropeway.,place_images\Dongargarh.jpg,Religious Family Winter Chhattisgarh Hilltop temple of Bambleshwari Devi accessible via ropeway.
107,Raipur Museum,Chhattisgarh,Historical,Family,1000,2500,Winter,1,4.0,Central urban center preserving regional tribal history artifacts.,place_images\Raipur_Museum.jpg,Historical Family Winter Chhattisgarh Central urban center preserving regional tribal history artifacts.
108,Champaran,Chhattisgarh,Religious,Family,1500,4000,Winter,1,4.2,"Birthplace of Saint Vallabhacharya, holding spiritual importance.",place_images\Champaran.jpg,"Religious Family Winter Chhattisgarh Birthplace of Saint Vallabhacharya, holding spiritual importance."
109,Ramdaha Falls,Chhattisgarh,Nature,Friends,2000,5000,Monsoon,1,4.1,Picturesque natural waterfalls forming great rocky picnic forests.,place_images\Ramdaha_Falls.jpg,Nature Friends Monsoon Chhattisgarh Picturesque natural waterfalls forming great rocky picnic forests.
110,Kutumsar Caves,Chhattisgarh,Nature,Friends,2000,5000,Winter,1,4.6,Dark limestone caves featuring unique blind cave fish.,place_images\Kutumsar_Caves.jpg,Nature Friends Winter Chhattisgarh Dark limestone caves featuring unique blind cave fish.
111,Ghatarani Waterfalls,Chhattisgarh,Nature,Friends,1500,4000,Monsoon,1,4.2,Beautiful jungle waterfall alongside a local temple shrine.,place_images\Ghatarani_Waterfalls.jpg,Nature Friends Monsoon Chhattisgarh Beautiful jungle waterfall alongside a local temple shrine.
112,Gangrel Dam,Chhattisgarh,Nature,Family,2500,7000,Winter,1,4.3,Largest dam reservoir hosting watersports and beach resorts.,place_images\Gangrel_Dam.jpg,Nature Family Winter Chhattisgarh Largest dam reservoir hosting watersports and beach resorts.
113,Calangute Beach,Goa,Beach,Friends,5000,20000,Winter,2,4.6,Queen of beaches hosting heavy crowds and pubs.,place_images\Calangute_Beach.jpg,Beach Friends Winter Goa Queen of beaches hosting heavy crowds and pubs.
114,Baga Beach,Goa,Beach,Friends,6000,25000,Winter,2,4.7,Famous party beach known for nightlife and shacks.,place_images\Baga_Beach.jpg,Beach Friends Winter Goa Famous party beach known for nightlife and shacks.
115,Anjuna Beach,Goa,Beach,Solo,4000,18000,Winter,2,4.5,Hippie hotspot famous for flea markets and psytrance.,place_images\Anjuna_Beach.jpg,Beach Solo Winter Goa Hippie hotspot famous for flea markets and psytrance.
